Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic Command,Validation Step,Official Link
Hooks Hygiene,"React Hook useEffect has missing dependencies","Missing values in dependency array","Add missing dependencies to array","Use useCallback/useMemo for stable refs","Extract custom hook with proper deps","npx eslint src/ --rule react-hooks/exhaustive-deps","No ESLint warnings remain","https://react.dev/reference/react/useEffect"
Hooks Hygiene,"Invalid hook call. Hooks can only be called inside function components","Hook called conditionally or outside component","Move hook to top level of component","Restructure component logic flow","Create proper custom hook","Check component structure manually","Component renders without errors","https://react.dev/reference/rules-of-hooks"
Hooks Hygiene,"Cannot update component while rendering","State update called during render","Move setState to event handler","Use useEffect for side effects","Refactor component architecture","grep -r 'setState' src/ | grep 'render'","No render-phase state updates","https://react.dev/reference/react/useState"
Rendering Performance,"Maximum update depth exceeded","Infinite render loop from state updates","Remove state update from render","Add dependency array to useEffect","Implement proper state management pattern","React DevTools Profiler check","No infinite render warnings","https://react.dev/learn/render-and-commit"
Rendering Performance,"Too many re-renders","State setter called unconditionally","Wrap setState in event handler","Use useCallback for event handlers","Implement proper memoization strategy","Check console for render warnings","Render count stabilizes","https://react.dev/reference/react/useState"
Rendering Performance,"Component re-renders unnecessarily","Missing React.memo or deps change","Add React.memo wrapper","Implement proper useMemo/useCallback","Restructure component hierarchy","React DevTools highlight updates","Minimal re-renders in DevTools","https://react.dev/reference/react/memo"
Effects & Lifecycle,"Memory leak detected","useEffect without cleanup function","Add cleanup function return","Use AbortController for requests","Implement proper resource management","Browser DevTools Memory tab","Memory usage stays stable","https://react.dev/reference/react/useEffect"
Effects & Lifecycle,"Can't perform React state update on unmounted component","State update after component unmount","Add cleanup to cancel operation","Use ref to track mounted state","Implement proper async handling","Check for async operations in effects","No unmounted component warnings","https://react.dev/reference/react/useEffect"
Effects & Lifecycle,"Effect runs on every render","Missing or incorrect dependencies","Fix dependency array","Move variables inside effect","Extract stable references","console.log in effect to count runs","Effect runs only when intended","https://react.dev/reference/react/useEffect"
State Management,"Objects are not valid as React child","Rendering object instead of primitive","Convert object to string/JSX","Add proper object property access","Implement proper data transformation","Check render method return values","UI displays expected content","https://react.dev/reference/react/useState"
State Management,"State not updating as expected","Direct mutation of state object","Use spread operator for updates","Implement immutable update patterns","Use state management library","Check for direct mutations in code","State updates trigger re-renders","https://react.dev/reference/react/useState"
State Management,"Stale state in event handler","Closure captures old state value","Use functional state update","Use useRef for current value","Restructure state management","Add logging to event handlers","Event handlers use current state","https://react.dev/reference/react/useState"
SSR/RSC Issues,"Hydration failed - UI mismatch","Different server/client rendering","Add suppressHydrationWarning","Use useEffect for client-only code","Implement proper isomorphic rendering","Compare server HTML vs client DOM","No hydration warnings in console","https://react.dev/reference/react-dom/client/hydrateRoot"
SSR/RSC Issues,"Text content does not match server HTML","Dynamic content differs between renders","Use useEffect for dynamic content","Implement proper data fetching pattern","Use SSR-compatible libraries only","Check server vs client rendered HTML","Identical server and client output","https://react.dev/reference/react-dom/server"
SSR/RSC Issues,"localStorage is not defined","Browser API called during SSR","Add typeof window check","Use dynamic imports for client code","Implement proper environment detection","grep -r 'localStorage\\|sessionStorage' src/","No server-side browser API calls","https://react.dev/reference/react-dom/server"
Component Patterns,"Each child in list should have unique key","Missing or duplicate keys in list","Add unique key prop to items","Use item ID as key instead of index","Implement proper list item identification","Check list rendering components","No key prop warnings","https://react.dev/learn/rendering-lists"
Component Patterns,"Cannot read properties of null","Accessing properties of null/undefined","Add optional chaining operator","Add proper null checks","Implement loading states properly","Check for null reference access","No runtime null reference errors","https://react.dev/reference/react/useRef"
Component Patterns,"Ref not available during render","Accessing ref.current in render","Move ref access to useEffect","Use callback ref pattern","Restructure ref usage timing","Check ref access timing","Refs work as expected","https://react.dev/reference/react/useRef"
Performance,"useMemo/useCallback everywhere but still slow","Over-memoization without benefit","Profile actual bottlenecks first","Remove unnecessary memoization","Focus on architectural improvements","React DevTools Profiler analysis","Improved render performance metrics","https://react.dev/reference/react/useMemo"
Performance,"Bundle size too large","Including unnecessary dependencies","Analyze bundle and tree shake","Implement code splitting","Use lighter alternative libraries","npx webpack-bundle-analyzer build/","Bundle size reduction achieved","https://react.dev/learn/code-splitting"
Error Handling,"Unhandled error crashes app","Missing error boundary","Add error boundary wrapper","Implement error reporting","Create comprehensive error handling strategy","Check for Error Boundary usage","Errors display fallback UI","https://react.dev/reference/react/Component"
