Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic Command,Validation Step,Official Link
WCAG Compliance,Missing alt text on images,"Images lack alt attributes or have empty alt=""","Add descriptive alt text to images","Use aria-label for complex images","Implement alt text generation workflow","axe-core: img-alt rule","Screen reader announces image content","https://www.w3.org/WAI/WCAG21/Understanding/non-text-content.html"
WCAG Compliance,Color contrast too low,Insufficient contrast ratio between text and background,Adjust colors to meet 4.5:1 ratio,Use high contrast color palette,Implement automated contrast checking,"lighthouse --only-categories=accessibility","Use color contrast analyzer tool","https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html"
WCAG Compliance,Text not resizable to 200%,Fixed font sizes prevent scaling,Use relative units (rem/em) instead of px,Implement responsive typography,Test at 200% zoom level,"Check browser zoom to 200%","Verify no horizontal scroll at 200% zoom","https://www.w3.org/WAI/WCAG21/Understanding/resize-text.html"
WCAG Compliance,Missing form labels,"Form inputs lack associated labels or aria-label","Add explicit label elements for inputs","Use aria-labelledby for complex associations","Implement form validation with accessible errors","axe-core: label rule","Screen reader announces field purpose","https://www.w3.org/WAI/WCAG21/Understanding/labels-or-instructions.html"
WAI-ARIA Implementation,Incorrect ARIA role usage,Using semantic roles on wrong elements,Use semantic HTML before adding ARIA,Match ARIA roles to element purpose,Validate ARIA implementation patterns,"axe-core: aria-roles rule","Test with screen reader navigation","https://w3c.github.io/aria-practices/"
WAI-ARIA Implementation,aria-expanded state not updated,Static aria-expanded value on dynamic content,Update aria-expanded when state changes,Use JavaScript to manage state transitions,Implement consistent state management,"Check aria-expanded reflects actual state","Verify screen reader announces state changes","https://w3c.github.io/aria-practices/"
WAI-ARIA Implementation,aria-describedby referencing non-existent ID,Broken reference to description element,Ensure referenced ID exists in DOM,Use aria-label as fallback,Validate ID references programmatically,"axe-core: aria-valid-attr-value rule","Screen reader finds referenced description","https://w3c.github.io/aria-practices/"
WAI-ARIA Implementation,Missing live region for dynamic content,Dynamic updates not announced to screen readers,Add aria-live regions for status messages,Use role=""status"" or role=""alert"",Implement centralized announcement system,"Check for aria-live or role attributes","Screen reader announces content changes","https://w3c.github.io/aria-practices/"
Keyboard Navigation,Elements not keyboard accessible,Interactive elements missing keyboard support,Add tabindex and keyboard event handlers,Use semantic HTML (button vs div),Implement consistent focus management,"Test navigation using only Tab key","All interactive elements reachable via keyboard","https://www.w3.org/WAI/WCAG21/Understanding/keyboard.html"
Keyboard Navigation,Tab order is illogical,Elements focused in wrong sequence,Restructure DOM to match visual order,Use tabindex to override default order,Implement CSS visual ordering carefully,"Tab through interface without mouse","Focus follows logical reading order","https://www.w3.org/WAI/WCAG21/Understanding/focus-order.html"
Keyboard Navigation,Focus indicator not visible,No visible indication of keyboard focus,Add :focus styles with sufficient contrast,Use outline or border for focus indication,Implement custom focus indicators,"Tab through interface and observe focus","Focus is clearly visible on all elements","https://www.w3.org/WAI/WCAG21/Understanding/focus-visible.html"
Keyboard Navigation,Keyboard trap in modal,Cannot exit modal using keyboard,Implement focus trap with Escape key,Manage focus return to trigger element,Add close button as keyboard accessible,"Test modal with keyboard only","Can open and close modal using keyboard","https://w3c.github.io/aria-practices/examples/dialog-modal/dialog.html"
Screen Reader Optimization,Headings out of order,H1-H6 hierarchy not maintained,Structure headings in proper order (H1-H2-H3),Use only one H1 per page,Create heading outline before implementation,"Use heading navigation in screen reader","Logical heading structure announced","https://www.w3.org/WAI/WCAG21/Understanding/headings-and-labels.html"
Screen Reader Optimization,Missing landmarks,Page lacks semantic navigation landmarks,Add nav role for navigation sections,Use main role for primary content,Implement complementary for sidebar content,"Use landmark navigation in screen reader","Screen reader can navigate by landmarks","https://www.w3.org/WAI/WCAG21/Understanding/bypass-blocks.html"
Screen Reader Optimization,Table without proper headers,Data tables missing th elements or scope,Add th elements for table headers,Use scope attribute for complex tables,Implement table captions for context,"Navigate table with screen reader","Screen reader announces column/row headers","https://www.w3.org/WAI/WCAG21/Understanding/info-and-relationships.html"
Screen Reader Optimization,Link purpose unclear from context,Links with vague text like 'click here',Use descriptive link text,Add aria-label for additional context,Provide surrounding context for links,"Read links list in screen reader","Link purpose clear from text alone","https://www.w3.org/WAI/WCAG21/Understanding/link-purpose-in-context.html"
Visual Accessibility,Images of text used unnecessarily,Text content rendered as images,Replace images with actual text,Use CSS for text styling instead of images,Provide text alternative for essential images,"Check for images containing text","Text is selectable and resizable","https://www.w3.org/WAI/WCAG21/Understanding/images-of-text.html"
