Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic Command,Validation Step,Official Link
Configuration & Module Resolution,"Module not found: Error: Can't resolve './component'","Incorrect relative path or missing file extension","Check file path and add correct extension","Add resolve.extensions: ['.js', '.jsx', '.ts', '.tsx']","Use resolve.alias for cleaner imports","ls -la src/components/","webpack --config webpack.config.js --validate","https://webpack.js.org/configuration/resolve/"
Configuration & Module Resolution,"Cannot resolve dependency 'crypto'","Node.js modules not available in browser","Add resolve.fallback: { crypto: require.resolve('crypto-browserify') }","Use webpack.ProvidePlugin for global variables","Install browser-compatible polyfills","npm list crypto","webpack --mode production --stats verbose","https://webpack.js.org/configuration/resolve/#resolvefallback"
Configuration & Module Resolution,"TypeError: Cannot read property 'tap' of undefined","Incompatible plugin with current webpack version","Check plugin compatibility with webpack version","Update plugin to compatible version","Use webpack version-specific plugin alternatives","webpack --version && npm list webpack","webpack --config webpack.config.js --validate","https://webpack.js.org/migrate/5/"
Bundle Optimization & Code Splitting,"Bundle size exceeds recommended limit (244 KB)","No code splitting or bundle optimization","Enable optimization.splitChunks: { chunks: 'all' }","Implement dynamic imports for route-based splitting","Add compression and minification plugins","webpack-bundle-analyzer dist/stats.json","lighthouse http://localhost:3000","https://webpack.js.org/guides/code-splitting/"
Bundle Optimization & Code Splitting,"Duplicate modules in different chunks","Inefficient splitChunks configuration","Configure cacheGroups for vendor separation","Set splitChunks.chunks: 'all' with proper minChunks","Use ModuleConcatenationPlugin for scope hoisting","webpack --json > stats.json","webpack-bundle-analyzer stats.json","https://webpack.js.org/plugins/split-chunks-plugin/"
Bundle Optimization & Code Splitting,"Tree shaking not removing dead code","sideEffects not configured correctly","Set package.json sideEffects: false","Configure optimization.usedExports: true","Use optimization.providedExports: true","webpack --mode production --display-used-exports","grep -r 'unused harmony export' build/","https://webpack.js.org/guides/tree-shaking/"
Performance & Build Speed,"Build takes too long (>2 minutes)","No caching or parallelization","Enable cache: { type: 'filesystem' }","Use thread-loader for expensive operations","Remove ProgressPlugin in production","time webpack --mode production","speed-measure-webpack-plugin analysis","https://webpack.js.org/guides/build-performance/"
Performance & Build Speed,"Memory heap out of space during build","Large bundle or memory leak","Increase Node.js heap: --max_old_space_size=4096","Enable splitChunks for large bundles","Use externals for heavy dependencies","node --max_old_space_size=8192 webpack","ps aux | grep webpack","https://webpack.js.org/guides/build-performance/"
Performance & Build Speed,"Hot reload not working in development","HMR configuration issues","Add webpack.HotModuleReplacementPlugin()","Configure devServer.hot: true","Check module.hot.accept() in code","curl http://localhost:3000/__webpack_hmr","browser dev tools network tab","https://webpack.js.org/guides/hot-module-replacement/"
Plugin & Loader Ecosystem,"Plugin is not a constructor","Incorrect plugin import or usage","Import plugin correctly: const Plugin = require('plugin').default","Check plugin documentation for correct usage","Verify plugin compatibility with webpack version","webpack --config webpack.config.js --validate","webpack --mode development --display-modules","https://webpack.js.org/contribute/writing-a-plugin/"
Plugin & Loader Ecosystem,"Loader doesn't transform files correctly","Wrong loader configuration or order","Check test regex pattern for file matching","Verify loader order (right-to-left execution)","Add proper loader options and query parameters","webpack --mode development --display-reasons","cat dist/bundle.js | grep 'transformed-content'","https://webpack.js.org/concepts/loaders/"
Plugin & Loader Ecosystem,"Multiple loaders conflict with same file type","Loader configuration collision","Use oneOf to prevent loader conflicts","Separate rules with specific conditions","Use resource/resourceQuery for fine-grained control","webpack --mode development --display-modules","webpack --stats verbose | grep loader","https://webpack.js.org/configuration/module/#ruleoneof"
Development Experience & HMR,"Source maps not generating correctly","Incorrect devtool configuration","Set devtool: 'eval-cheap-module-source-map' for dev","Use 'source-map' for production debugging","Configure SourceMapDevToolPlugin for advanced control","grep -r '//# sourceMappingURL' dist/","browser dev tools sources tab verification","https://webpack.js.org/configuration/devtool/"
Development Experience & HMR,"DevServer proxy not forwarding API calls","Proxy configuration issues","Configure devServer.proxy with target and pathRewrite","Add changeOrigin: true for CORS issues","Use onProxyReq/onProxyRes for custom headers","curl -H 'Host: localhost:3000' http://localhost:8000/api","browser dev tools network tab","https://webpack.js.org/configuration/dev-server/#devserverproxy"
Development Experience & HMR,"Assets not loading with correct public path","publicPath misconfiguration","Set output.publicPath for correct asset URLs","Configure devServer.static.publicPath","Use webpack.DefinePlugin for runtime public path","curl -I http://localhost:3000/assets/bundle.js","browser dev tools network tab 404 errors","https://webpack.js.org/guides/public-path/"
Advanced Features & Migration,"Module federation remote loading fails","Remote entry configuration issues","Check remotes URL accessibility and CORS","Verify exposed modules match import paths","Configure shared dependencies correctly","curl http://localhost:3001/remoteEntry.js","browser dev tools console for federation errors","https://webpack.js.org/concepts/module-federation/"
Advanced Features & Migration,"Webpack 5 migration breaking changes","Deprecated plugins or configuration","Replace removed plugins with alternatives","Update resolve.fallback for Node.js polyfills","Migrate to asset modules from file-loader","webpack --mode production 2>&1 | grep -i deprecat","webpack --config webpack.config.js --validate","https://webpack.js.org/migrate/5/"
