Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic Command,Validation Step,Official Link
Async & Promises,UnhandledPromiseRejectionWarning,Missing .catch() handler,Add .catch(console.error),Add proper error handling with logger,Implement structured error handling with recovery,"node --unhandled-rejections=strict","node --trace-warnings",https://nodejs.org/api/errors.html
Async & Promises,"Promise.all fails fast",One promise rejection fails all,Use Promise.allSettled(),Add individual error handling,Implement retry logic with exponential backoff,"node --trace-warnings","Test with intentional failures",https://nodejs.org/api/promise.html
Async & Promises,"Async function returns [object Promise]",Not awaiting async function,Add await keyword,Wrap in try/catch with await,Create async wrapper utility,"node --inspect-brk","Check return values in debugger",https://nodejs.org/en/docs/guides/event-loop-timers-and-nexttick
Async & Promises,"Cannot read property of undefined in async chain",Race condition or timing issue,Add null checks,Use Optional chaining (?.),Implement proper async sequencing,"node --trace-warnings","Add logging to trace execution order",https://nodejs.org/api/async_hooks.html
Module System,"Cannot use import statement outside a module",Module type mismatch,Change file to .mjs,Add "type": "module" to package.json,Configure proper module exports/imports,"node --trace-warnings","node --check filename.js",https://nodejs.org/api/esm.html
Module System,"require() of ES modules not supported",Mixing CommonJS and ESM,Use dynamic import(),Convert to full ESM,Create compatibility layer,"node --trace-warnings","Test import/export resolution",https://nodejs.org/api/modules.html
Module System,"Module not found",Incorrect path or missing dependency,Check file path and extension,Verify in node_modules,Configure module resolution,"npm ls --depth=0","Verify file exists and path is correct",https://nodejs.org/api/modules.html
Module System,"Circular dependency detected",Modules reference each other,Refactor to break cycle,Extract shared code to separate module,Implement dependency injection pattern,"node --trace-warnings","Review module import tree",https://nodejs.org/api/modules.html
Performance & Memory,"JavaScript heap out of memory",Memory limit exceeded,Increase --max-old-space-size,Optimize memory usage,Implement memory profiling and cleanup,"node --max-old-space-size=4096","node --heap-prof",https://nodejs.org/en/docs/guides/simple-profiling
Performance & Memory,"Event loop lag detected",Blocking synchronous operations,Convert to async version,Break into smaller chunks,Use worker threads for CPU intensive tasks,"node --prof","node --prof-process isolate-*.log",https://nodejs.org/en/docs/guides/dont-block-the-event-loop
Performance & Memory,High CPU with low throughput,Event loop blocking,Identify blocking operations,Use async alternatives,Implement work partitioning,"node --inspect","Check performance tab in DevTools",https://nodejs.org/api/perf_hooks.html
Performance & Memory,Memory leaks in long-running process,Unclosed resources or references,Close streams and connections,Implement proper cleanup patterns,Add memory monitoring and alerts,"node --inspect","Take heap snapshots over time",https://nodejs.org/en/docs/guides/simple-profiling
Filesystem & Streams,"ENOENT: no such file or directory",File path doesn't exist,Check file path spelling,Use path.resolve() for absolute paths,Add file existence validation with graceful fallback,"node --trace-fs-sync","Test with fs.access() before operations",https://nodejs.org/api/fs.html
Filesystem & Streams,"EACCES: permission denied",Insufficient file permissions,Check file permissions with ls -la,Use sudo (if appropriate),Implement proper permission handling,"ls -la filename","Test file operations with different users",https://nodejs.org/api/fs.html
Filesystem & Streams,"EMFILE: too many open files",File descriptor leak,Close file handles explicitly,Use streams with proper cleanup,Implement connection pooling,"lsof -p <pid>","Monitor open file descriptors",https://nodejs.org/api/fs.html
Filesystem & Streams,Stream backpressure issues,Writing faster than consumer can handle,Check stream.write() return value,Use stream.pipeline(),Implement flow control with buffering,"node --trace-warnings","Monitor stream highWaterMark",https://nodejs.org/api/stream.html
Process & Environment,"Cannot read property of undefined (process.env)",Missing environment variable,Set default value with ||,Use dotenv for development,Implement environment validation,"printenv | grep VAR_NAME","Check environment variables are set",https://nodejs.org/api/process.html
Process & Environment,Process hanging or not exiting,Event loop kept alive by active handles,Identify active handles,Close servers and timers explicitly,Implement graceful shutdown,"node --trace-exit","Use process.exitCode and monitoring",https://nodejs.org/api/process.html
Process & Environment,Signal handling issues,Improper signal handlers,Add basic signal handlers,Implement graceful shutdown,Create comprehensive signal handling system,"kill -l","Test signal handling manually",https://nodejs.org/api/process.html
Process & Environment,Child process spawn errors,Command not found or permissions,Check command exists,Use full path to executable,Add proper error handling and validation,"which command","Test child process spawn manually",https://nodejs.org/api/child_process.html
HTTP & Networking,"ECONNREFUSED",Server not listening or wrong port,Check server is running,Verify correct host/port,Implement connection retry logic,"netstat -tulpn | grep port","Test connection with curl",https://nodejs.org/api/http.html
HTTP & Networking,"ETIMEOUT",Network timeout or slow response,Increase timeout values,Implement retry mechanism,Add circuit breaker pattern,"curl -v --connect-timeout 5","Test with different timeout values",https://nodejs.org/api/http.html
HTTP & Networking,"Cannot set headers after they are sent",Response already sent,Check response.headersSent,Use response.writeHead() once,Implement response state management,"node --trace-warnings","Add response state logging",https://nodejs.org/api/http.html
HTTP & Networking,"Request timeout",Client request hanging,Set request timeout,Implement request cancellation,Add comprehensive timeout handling,"node --trace-http","Monitor request/response cycles",https://nodejs.org/api/http.html
