Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic,Validation,Evidence_Link
Module & DI,"Nest can't resolve dependencies of the LayoutmgmtService (?)",Missing provider registration,Add to providers array,Check module imports,Export from module,nest info,Build succeeds,https://github.com/nestjs/nest/issues/3186
Module & DI,"Circular dependency detected",Circular imports between modules,Use forwardRef() on both sides,Refactor module boundaries,Extract shared module,Check build output,No circular warnings,https://stackoverflow.com/questions/65671318
Module & DI,"ActorModule exporting itself instead of ActorService",Wrong export configuration,Add ActorService to exports array,Make module global,Import correct module,Check module structure,Provider resolves,https://github.com/nestjs/nest/issues/866
Module & DI,"Nest can't resolve dependencies when import module from index.ts",Index.ts barrel export ordering,Fix import order in index.ts,Use direct imports,Remove barrel exports,Check import statements,Module resolves correctly,https://github.com/nestjs/nest/issues/9095
Request Lifecycle,"Guard runs before middleware",Wrong order,Fix decorator placement,Use global middleware,Restructure pipeline,Add logging,Correct execution order,https://docs.nestjs.com/faq/request-lifecycle
Request Lifecycle,"Interceptor not catching errors",Missing error handling,Add exception filter,Use RxJS catchError,Wrap in try-catch,Check error flow,Errors caught properly,https://docs.nestjs.com/interceptors
Request Lifecycle,"Pipe validation fails silently",No ValidationPipe,Add global ValidationPipe,Configure transform options,Add custom pipe,Check pipe config,Validation works,https://docs.nestjs.com/pipes
Testing,"Cannot test e2e because Nestjs doesn't resolve dependencies",Missing test module configuration,Add required modules to testing module,Mock external dependencies,Use Test.createTestingModule properly,Check test setup,Module creates successfully,https://stackoverflow.com/questions/75483101
Testing,"Nest can't resolve dependencies of JwtService in unit test",Missing JWT module in test,Provide mock JWT service,Use @golevelup/ts-jest createMock,Add JwtModule to test imports,Review mock configuration,Mock returns expected values,https://stackoverflow.com/questions/62822943
Testing,"Async test timeout",Missing async handling,Add async/await,Increase timeout,Use done callback,Check async operations,Test completes,https://jestjs.io/docs/asynchronous
Testing,"E2E test fails",Wrong test database,Configure test env,Use test containers,Mock external services,Check E2E setup,E2E passes,https://docs.nestjs.com/fundamentals/testing#end-to-end-testing
Database,"[TypeOrmModule] Unable to connect to the database",Misleading generic error message,Check actual entity configuration,Verify @Column() syntax not @Column('description'),Fix connection string if needed,Review error logs for real cause,Connection establishes,https://github.com/nestjs/typeorm/issues/1151
Database,"Typeorm connection error breaks entire nestjs application on boot",Failed connection crashes whole app,Implement connection error handling,Use try-catch in useFactory,Allow app to start without failed DB,Check connection independently,App starts despite DB failure,https://github.com/nestjs/typeorm/issues/520
Database,"Cannot get two database connections working at the same time",Multiple connection configuration conflict,Use named connections,Configure separate connection names,Check ormconfig.json structure,Test each connection independently,Both connections work,https://github.com/nestjs/nest/issues/2692
Database,"ConnectionIsNotSetError: Connection with sqlite database is not established",SQLite connection configuration issue,Check connection configuration,Verify database file path,Test connection before operations,Monitor connection status,Connection establishes properly,https://github.com/typeorm/typeorm/issues/8745
Module & DI,"Can't resolve dependencies bug introduced with v6.3.1",Version-specific regression,Downgrade to previous version,Update to patched version,Use alternative injection pattern,Check version compatibility,Injection works in stable version,https://github.com/nestjs/nest/issues/2359
Module & DI,"Nest can't resolve dependencies of the UserController (?, +)",Missing service dependency,Add service to module providers,Check constructor injection,Verify service exports,Review dependency chain,Controller resolves dependencies,https://github.com/nestjs/nest/issues/886
