Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic Command,Validation Step,Official Link
Configuration & Plugin Ecosystem,"Failed to resolve import specifier","Missing or incorrect path aliases in vite.config.js","Add alias in resolve.alias config","Check file extension in resolve.extensions","Update import path to use correct case sensitivity","vite --debug","Check if file exists and import resolves","https://vitejs.dev/config/shared-options.html#resolve-alias"
Configuration & Plugin Ecosystem,"Plugin is not running in development","Plugin apply condition excludes development mode","Set plugin apply to 'serve' or remove apply","Add conditional logic in plugin function","Check plugin order in plugins array","npm run dev -- --debug","Verify plugin logs appear in console","https://vitejs.dev/guide/using-plugins.html#conditional-application"
Configuration & Plugin Ecosystem,"TypeError: Cannot read property of undefined in plugin","Plugin receiving undefined config or context","Add null checks in plugin hooks","Update plugin to latest version","Check plugin compatibility with Vite version","vite build --debug","Plugin executes without errors","https://vitejs.dev/guide/api-plugin.html"
Development Server & HMR,"HMR not working for specific file type","File extension not recognized by HMR system","Add file extension to server.watch config","Install appropriate plugin for file type","Configure custom HMR handling in code","Check network tab for HMR requests","File updates trigger browser refresh","https://vitejs.dev/guide/api-hmr.html"
Development Server & HMR,"Full page reload instead of HMR","Module has side effects or circular dependencies","Use import.meta.hot.accept() correctly","Remove side effects from module","Refactor to avoid circular imports","Check console for HMR logs","Module updates without page reload","https://vitejs.dev/guide/api-hmr.html#hot-accept-cb"
Development Server & HMR,"Vite dev server slow startup","Large number of dependencies or inefficient scanning","Add frequently used deps to optimizeDeps.include","Set optimizeDeps.holdUntilCrawlEnd to false","Enable server.warmup for critical files","time vite --debug","Server starts under 2 seconds","https://vitejs.dev/config/dep-optimization-options.html#optimizedeps-include"
Build Optimization & Production,"Build bundle size too large","No code splitting or manual chunking configured","Configure manual chunks in rollupOptions","Use dynamic imports for code splitting","Enable tree shaking with proper sideEffects config","npm run build -- --debug","Bundle size reduced by expected amount","https://vitejs.dev/guide/build.html#chunking-strategy"
Build Optimization & Production,"Build fails with 'out of memory' error","Large codebase exceeding Node.js memory limit","Increase Node.js memory limit with --max-old-space-size","Configure more aggressive code splitting","Use build.chunkSizeWarningLimit to identify large chunks","node --max-old-space-size=4096 vite build","Build completes successfully","https://vitejs.dev/guide/build.html#build-optimizations"
Build Optimization & Production,"Production build missing source maps","sourcemap option not enabled in build config","Set build.sourcemap to true","Set build.sourcemap to 'hidden' for CI","Configure terserOptions to preserve source maps","Check dist folder for .map files","Source maps available in browser devtools","https://vitejs.dev/config/build-options.html#build-sourcemap"
Framework Integration & TypeScript,"TypeScript errors not showing in dev","TypeScript checking disabled or misconfigured","Install @vitejs/plugin-react-swc with TypeScript support","Add typescript plugin to vite config","Configure build.rollupOptions to use tsc","tsc --noEmit","TypeScript errors appear in terminal","https://vitejs.dev/guide/features.html#typescript"
Framework Integration & TypeScript,"React Fast Refresh not working","React plugin not configured or outdated version","Update @vitejs/plugin-react to latest version","Check React version compatibility","Add react runtime to optimizeDeps.include","Check React DevTools for refresh status","Component state preserved on file changes","https://github.com/vitejs/vite-plugin-react/tree/main/packages/plugin-react"
Framework Integration & TypeScript,"Vue SFC not compiling","Vue plugin missing or misconfigured","Install and configure @vitejs/plugin-vue","Check Vue version compatibility","Add vue to optimizeDeps.include","Check console for Vue compilation errors","Vue components render correctly","https://github.com/vitejs/vite-plugin-vue/tree/main/packages/plugin-vue"
Asset Handling & Preprocessing,"CSS not loading or applying","CSS import path incorrect or processing error","Check CSS import syntax and file path","Configure CSS preprocessor plugin if needed","Add CSS file extension to resolve.extensions","Check network tab for CSS request status","CSS styles applied in browser","https://vitejs.dev/guide/features.html#css"
Asset Handling & Preprocessing,"Static assets returning 404","Assets not in public folder or incorrect import method","Move assets to public/ folder for static serving","Use import syntax for processed assets","Check base path configuration for asset URLs","Check network tab for asset request URLs","Assets load with correct MIME types","https://vitejs.dev/guide/assets.html"
Asset Handling & Preprocessing,"PostCSS plugins not processing","PostCSS config missing or plugin not installed","Create postcss.config.js with required plugins","Install missing PostCSS plugins","Check plugin order in PostCSS config","Check if CSS contains expected transformations","CSS processed with PostCSS transformations","https://vitejs.dev/guide/features.html#postcss"
Migration & Advanced Patterns,"Import resolution after CRA migration","Different module resolution between CRA and Vite","Update imports to use explicit file extensions","Configure resolve.alias for path mapping","Update tsconfig.json paths configuration","Check if imports resolve without errors","All imports work in both dev and build","https://vitejs.dev/guide/troubleshooting.html#module-externalized-for-browser-compatibility"
Migration & Advanced Patterns,"Environment variables not working","Different env var prefix (REACT_APP vs VITE)","Rename environment variables to VITE_ prefix","Update import.meta.env usage instead of process.env","Add variables to define config for build-time replacement","echo $VITE_API_URL","Environment variables accessible in code","https://vitejs.dev/guide/env-and-mode.html"
